clone,sprouting,hollow_heart,IBS,bruise,cracks,stemend_browning,anthocyanin,vascular_discoloration,greening,unknow_defect
1,3,0,0,1,0,1,0,0,0,0
2,0,0,0,4,0,3,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0
4,0,0,0,1,0,0,0,0,0,0
5,0,0,0,3,1,2,0,0,0,1
6,0,0,4,5,0,4,0,0,0,0
7,0,0,0,0,0,0,2,0,0,0
8,0,0,0,3,0,2,0,0,0,2
9,0,0,2,1,1,0,0,0,0,0
10,0,0,0,2,0,3,0,0,0,0
11,0,0,0,3,1,2,0,1,0,0
12,1,0,2,0,0,0,0,0,0,0
13,0,2,0,0,0,0,0,0,0,0
14,0,0,10,3,0,0,0,2,0,0
15,0,2,1,3,0,2,1,0,0,0
16,4,0,0,2,2,0,0,0,0,0
17,1,0,0,2,0,1,0,0,0,0
18,4,0,3,3,1,0,0,0,0,1
19,0,0,0,1,0,0,0,0,0,0
20,3,0,0,3,3,3,0,0,1,2
21,7,1,2,1,0,0,0,1,0,1
22,0,0,0,0,0,0,0,0,0,0
23,4,0,4,3,2,1,0,0,0,1
24,1,0,0,0,0,0,0,0,0,0
25,1,1,1,3,1,0,0,0,0,0
26,2,0,1,4,1,1,0,0,0,1
27,2,0,0,1,0,0,0,0,0,2
28,0,0,0,4,2,0,0,0,0,0
29,0,0,0,3,0,0,0,0,0,0
30,5,0,0,2,0,0,0,0,0,0
31,3,0,2,2,0,0,0,2,0,0
32,0,0,0,1,2,0,0,2,0,0
33,0,0,3,1,0,1,0,0,0,0
34,3,0,4,4,3,1,0,4,0,0
35,0,2,2,4,2,0,0,2,0,0
36,3,0,5,7,2,3,0,3,0,0
37,1,0,0,5,1,3,0,0,0,0
38,2,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,1,0,0
40,0,1,0,0,2,0,1,0,0,1
41,5,0,0,1,0,0,0,0,0,0
42,0,0,0,7,0,7,0,1,0,0
43,0,0,0,0,0,0,1,0,0,0
44,2,0,0,0,0,0,0,0,0,0
45,2,0,0,0,0,0,0,0,0,0
46,0,0,0,3,0,0,0,0,0,0
47,0,0,0,0,0,0,1,0,0,0
48,0,0,1,1,0,0,0,0,0,1
49,0,0,0,0,0,0,0,0,0,0
50,1,0,0,0,0,0,0,0,0,0
51,0,0,0,1,0,0,0,0,0,0
52,0,0,0,5,2,0,0,0,0,0
53,0,0,0,5,1,5,0,0,0,0
54,0,0,0,0,2,0,0,0,0,0
55,3,0,0,0,0,0,0,1,0,0
56,0,0,0,1,0,0,0,0,0,2
57,0,0,4,0,0,0,0,1,0,0
58,0,0,10,0,0,0,0,0,0,0
59,0,0,6,0,0,0,0,3,0,0
60,1,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,1,0
62,0,0,0,8,1,7,0,3,0,0
63,0,0,2,1,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0
65,0,1,0,0,0,0,0,0,0,0
66,0,0,1,0,0,0,0,0,0,0
67,0,2,1,3,0,0,0,6,0,0
68,0,0,2,2,1,0,0,0,0,0
69,0,0,0,5,1,0,0,0,0,2
70,0,3,0,2,1,0,0,0,0,1
71,0,0,0,1,1,0,0,0,0,0
72,1,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0
74,0,1,0,3,0,0,0,0,0,0
75,0,8,2,2,0,0,0,4,0,2
76,0,1,0,0,1,0,0,1,0,0
77,0,0,1,0,0,0,0,0,0,0
78,0,0,6,1,1,0,0,0,0,0
79,0,0,0,0,0,0,0,3,0,0
80,0,0,0,0,0,0,0,0,0,0
91,0,0,0,1,1,0,0,5,0,0
92,0,0,0,2,3,1,0,0,0,0
93,0,0,0,1,0,0,0,0,0,0
94,0,0,0,0,0,0,0,1,0,0
95,0,0,0,1,0,1,0,1,0,0
96,0,0,0,0,0,0,0,2,0,0
97,0,0,2,0,0,0,0,0,0,0
98,0,0,0,1,2,0,0,0,0,0
99,5,0,0,0,1,0,0,0,0,0
100,0,0,0,6,3,2,0,1,0,1
121,2,1,0,0,0,0,0,0,0,0
122,2,0,1,2,0,0,0,4,0,0
123,1,0,0,4,4,0,0,2,0,0
124,1,0,0,0,0,0,0,0,0,0
125,6,0,0,0,0,0,0,0,0,0
126,0,0,0,1,0,0,0,0,0,0
127,0,0,0,3,4,0,0,0,1,0
128,0,0,3,0,1,0,0,0,0,0
129,2,4,0,2,0,0,0,0,0,0
130,7,0,0,0,1,0,0,0,0,0
131,2,0,0,3,0,0,0,0,0,1
132,0,0,0,2,0,0,0,0,0,0
133,0,1,0,5,0,0,0,0,0,0
134,0,0,0,1,0,0,0,7,0,0
135,0,0,0,1,0,0,0,0,0,0
136,0,0,5,3,2,0,0,4,0,0
137,0,0,0,2,0,2,1,0,0,0
138,0,1,0,2,0,0,0,0,0,0
139,0,0,0,2,2,2,1,0,0,0
140,0,0,0,4,1,0,0,1,0,0
141,0,0,0,2,1,0,0,8,0,5
142,1,0,2,2,2,0,0,0,0,0
143,0,0,0,2,2,0,0,0,0,0
144,0,4,0,0,1,0,0,0,0,0
145,0,0,0,0,0,0,0,2,0,0
146,0,0,7,1,0,0,0,1,0,0
147,1,1,0,0,0,0,0,0,0,0
148,2,0,0,2,1,0,0,0,0,0
149,0,0,5,2,0,0,1,0,0,0
150,0,0,0,6,0,4,0,0,0,0
151,0,0,0,4,1,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0
153,0,0,0,2,1,0,0,1,0,0
154,0,0,0,0,0,0,0,0,1,0
155,0,0,0,5,0,4,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0
157,0,0,0,0,0,0,0,0,0,0
158,0,0,3,1,1,0,0,0,0,0
159,0,2,0,2,2,0,0,0,0,0
160,0,0,0,4,5,1,1,0,0,5
161,2,0,0,0,1,0,2,0,1,0
162,0,0,0,0,0,0,0,0,0,0
163,5,0,0,5,2,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0
165,1,0,0,0,0,0,0,0,0,0
166,0,0,0,0,2,0,0,0,0,0
167,2,0,4,0,2,0,0,0,0,0
168,6,2,4,0,0,0,1,0,1,0
169,0,0,0,0,0,2,1,2,0,0
170,0,0,0,0,1,0,0,0,0,0
171,0,0,0,0,0,0,0,0,0,0
172,1,0,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,1,2,0,0,0,0
176,0,2,0,5,3,2,0,0,0,0
177,0,0,1,0,0,0,0,0,1,0
178,1,1,1,2,3,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0,0
180,0,1,0,1,0,0,0,0,0,0
181,0,0,5,2,0,0,0,2,0,0
182,0,1,1,1,0,0,0,1,0,0
183,0,0,0,2,2,2,0,1,0,0
184,0,1,0,2,0,4,0,4,0,0
185,0,0,0,0,0,0,0,0,0,0
186,0,0,0,0,3,0,0,2,0,0
187,0,2,1,3,0,3,1,1,0,0
188,0,0,1,2,0,2,2,0,0,0
189,0,0,0,0,0,0,0,1,0,0
190,0,1,5,1,0,1,0,0,1,0
191,0,0,0,0,1,4,0,0,0,0
192,0,0,6,0,0,0,0,1,0,6
193,0,0,2,4,0,0,0,0,0,5
