Sweep,SD,Value,PC
51,3,97.042,PC2
52,3,97.023,PC2
53,3,96.987,PC2
54,3,96.941,PC2
55,3,96.822,PC2
56,3,96.693,PC2
57,3,96.554,PC2
58,3,96.357,PC2
59,3,96.179,PC2
60,3,95.89,PC2
61,3,95.608,PC2
62,3,95.272,PC2
63,3,94.903,PC2
64,3,94.543,PC2
65,3,94.132,PC2
66,3,93.647,PC2
67,3,93.155,PC2
68,3,92.589,PC2
69,3,92.021,PC2
70,3,91.387,PC2
71,3,90.728,PC2
72,3,90,PC2
73,3,89.225,PC2
74,3,88.402,PC2
75,3,87.473,PC2
76,3,86.547,PC2
77,3,85.522,PC2
78,3,84.436,PC2
79,3,83.286,PC2
80,3,82.047,PC2
81,3,80.742,PC2
82,3,79.312,PC2
83,3,77.83,PC2
84,3,76.227,PC2
85,3,74.592,PC2
86,3,72.739,PC2
87,3,70.809,PC2
88,3,68.618,PC2
89,3,66.387,PC2
90,3,63.913,PC2
91,3,61.214,PC2
92,3,58.278,PC2
93,3,55.043,PC2
94,3,51.52,PC2
95,3,47.555,PC2
96,3,43.073,PC2
97,3,37.997,PC2
98,3,31.85,PC2
99,3,24.129,PC2
100,3,12.547,PC2
1,4,13.38,PC2
2,4,25.686,PC2
3,4,33.532,PC2
4,4,39.719,PC2
5,4,44.801,PC2
6,4,49.209,PC2
7,4,52.961,PC2
8,4,56.339,PC2
9,4,59.38,PC2
10,4,62.174,PC2
11,4,64.73,PC2
12,4,67.024,PC2
13,4,69.176,PC2
14,4,71.233,PC2
15,4,73.103,PC2
16,4,74.845,PC2
17,4,76.49,PC2
18,4,77.999,PC2
19,4,79.445,PC2
20,4,80.818,PC2
21,4,82.095,PC2
22,4,83.283,PC2
23,4,84.394,PC2
24,4,85.468,PC2
25,4,86.431,PC2
26,4,87.368,PC2
27,4,88.231,PC2
28,4,89.037,PC2
29,4,89.771,PC2
30,4,90.461,PC2
31,4,91.145,PC2
32,4,91.725,PC2
33,4,92.331,PC2
34,4,92.888,PC2
35,4,93.393,PC2
36,4,93.83,PC2
37,4,94.252,PC2
38,4,94.636,PC2
39,4,94.96,PC2
40,4,95.288,PC2
41,4,95.587,PC2
42,4,95.872,PC2
43,4,96.106,PC2
44,4,96.308,PC2
45,4,96.489,PC2
46,4,96.641,PC2
47,4,96.788,PC2
48,4,96.868,PC2
49,4,96.975,PC2
50,4,97.012,PC2
51,4,97.063,PC2
52,4,97.027,PC2
53,4,97,PC2
54,4,96.976,PC2
55,4,96.88,PC2
56,4,96.766,PC2
57,4,96.666,PC2
58,4,96.518,PC2
59,4,96.373,PC2
60,4,96.142,PC2
61,4,95.915,PC2
62,4,95.634,PC2
63,4,95.338,PC2
64,4,95.042,PC2
65,4,94.712,PC2
66,4,94.292,PC2
67,4,93.887,PC2
68,4,93.379,PC2
69,4,92.891,PC2
70,4,92.35,PC2
71,4,91.767,PC2
72,4,91.116,PC2
73,4,90.432,PC2
74,4,89.68,PC2
75,4,88.827,PC2
76,4,87.988,PC2
77,4,87.034,PC2
78,4,86.03,PC2
79,4,84.952,PC2
80,4,83.781,PC2
81,4,82.521,PC2
82,4,81.166,PC2
83,4,79.757,PC2
84,4,78.203,PC2
85,4,76.635,PC2
86,4,74.829,PC2
87,4,72.956,PC2
88,4,70.809,PC2
89,4,68.604,PC2
90,4,66.177,PC2
91,4,63.527,PC2
92,4,60.598,PC2
93,4,57.394,PC2
94,4,53.861,PC2
95,4,49.842,PC2
96,4,45.273,PC2
97,4,40.056,PC2
98,4,33.682,PC2
99,4,25.605,PC2
100,4,13.313,PC2
1,5,14.001,PC2
2,5,26.913,PC2
3,5,35.039,PC2
4,5,41.431,PC2
5,5,46.603,PC2
6,5,51.09,PC2
7,5,54.914,PC2
8,5,58.303,PC2
9,5,61.354,PC2
10,5,64.161,PC2
11,5,66.712,PC2
12,5,68.991,PC2
13,5,71.133,PC2
14,5,73.166,PC2
15,5,74.998,PC2
16,5,76.707,PC2
17,5,78.29,PC2
18,5,79.749,PC2
19,5,81.143,PC2
20,5,82.482,PC2
21,5,83.7,PC2
22,5,84.836,PC2
23,5,85.892,PC2
24,5,86.901,PC2
25,5,87.812,PC2
26,5,88.686,PC2
27,5,89.493,PC2
28,5,90.23,PC2
29,5,90.906,PC2
30,5,91.536,PC2
31,5,92.149,PC2
32,5,92.656,PC2
33,5,93.207,PC2
34,5,93.706,PC2
35,5,94.153,PC2
36,5,94.52,PC2
37,5,94.886,PC2
38,5,95.213,PC2
39,5,95.461,PC2
40,5,95.736,PC2
41,5,95.972,PC2
42,5,96.206,PC2
43,5,96.386,PC2
44,5,96.528,PC2
45,5,96.665,PC2
46,5,96.771,PC2
47,5,96.868,PC2
48,5,96.916,PC2
49,5,97.015,PC2
50,5,97.041,PC2
51,5,97.083,PC2
52,5,97.03,PC2
53,5,97.013,PC2
54,5,97.01,PC2
55,5,96.937,PC2
56,5,96.839,PC2
57,5,96.778,PC2
58,5,96.679,PC2
59,5,96.566,PC2
60,5,96.394,PC2
61,5,96.223,PC2
62,5,95.997,PC2
63,5,95.773,PC2
64,5,95.54,PC2
65,5,95.291,PC2
66,5,94.937,PC2
67,5,94.618,PC2
68,5,94.169,PC2
69,5,93.762,PC2
70,5,93.313,PC2
71,5,92.806,PC2
72,5,92.232,PC2
73,5,91.639,PC2
74,5,90.957,PC2
75,5,90.18,PC2
76,5,89.429,PC2
77,5,88.547,PC2
78,5,87.625,PC2
79,5,86.617,PC2
80,5,85.515,PC2
81,5,84.301,PC2
82,5,83.021,PC2
83,5,81.683,PC2
84,5,80.18,PC2
85,5,78.678,PC2
86,5,76.919,PC2
87,5,75.103,PC2
88,5,73.001,PC2
89,5,70.821,PC2
90,5,68.44,PC2
91,5,65.841,PC2
92,5,62.919,PC2
93,5,59.744,PC2
94,5,56.203,PC2
95,5,52.128,PC2
96,5,47.473,PC2
97,5,42.114,PC2
98,5,35.514,PC2
99,5,27.081,PC2
100,5,14.079,PC2
1,1,12.279,PC3
2,1,23.936,PC3
3,1,31.467,PC3
4,1,37.529,PC3
5,1,42.558,PC3
6,1,46.903,PC3
7,1,50.666,PC3
8,1,53.987,PC3
9,1,57.105,PC3
10,1,59.955,PC3
11,1,62.569,PC3
12,1,64.939,PC3
13,1,67.175,PC3
14,1,69.255,PC3
15,1,71.221,PC3
16,1,72.991,PC3
17,1,74.784,PC3
18,1,76.403,PC3
19,1,77.938,PC3
20,1,79.437,PC3
21,1,80.879,PC3
22,1,82.176,PC3
23,1,83.422,PC3
24,1,84.619,PC3
25,1,85.699,PC3
26,1,86.797,PC3
27,1,87.771,PC3
28,1,88.712,PC3
29,1,89.624,PC3
30,1,90.427,PC3
31,1,91.222,PC3
32,1,91.941,PC3
33,1,92.692,PC3
34,1,93.37,PC3
35,1,94.057,PC3
36,1,94.626,PC3
37,1,95.168,PC3
38,1,95.681,PC3
39,1,96.183,PC3
40,1,96.62,PC3
41,1,97.042,PC3
42,1,97.428,PC3
43,1,97.731,PC3
44,1,98.043,PC3
45,1,98.32,PC3
46,1,98.632,PC3
47,1,98.861,PC3
48,1,99.033,PC3
49,1,99.222,PC3
50,1,99.375,PC3
51,1,99.513,PC3
52,1,99.557,PC3
53,1,99.622,PC3
54,1,99.669,PC3
55,1,99.677,PC3
56,1,99.612,PC3
57,1,99.519,PC3
58,1,99.399,PC3
59,1,99.267,PC3
60,1,99.027,PC3
61,1,98.822,PC3
62,1,98.511,PC3
63,1,98.19,PC3
64,1,97.863,PC3
65,1,97.399,PC3
66,1,96.924,PC3
67,1,96.419,PC3
68,1,95.822,PC3
69,1,95.227,PC3
70,1,94.568,PC3
71,1,93.782,PC3
72,1,92.977,PC3
73,1,92.048,PC3
74,1,91.141,PC3
75,1,90.049,PC3
76,1,88.997,PC3
77,1,87.789,PC3
78,1,86.495,PC3
79,1,85.135,PC3
80,1,83.681,PC3
81,1,82.13,PC3
82,1,80.428,PC3
83,1,78.624,PC3
84,1,76.737,PC3
85,1,74.775,PC3
86,1,72.587,PC3
87,1,70.273,PC3
88,1,67.807,PC3
89,1,65.202,PC3
90,1,62.264,PC3
91,1,59.134,PC3
92,1,55.704,PC3
93,1,51.997,PC3
94,1,48.012,PC3
95,1,43.491,PC3
96,1,38.657,PC3
97,1,33.438,PC3
98,1,27.388,PC3
99,1,20.273,PC3
100,1,10.463,PC3
1,2,12.519,PC3
2,2,24.197,PC3
3,2,31.746,PC3
4,2,37.768,PC3
5,2,42.779,PC3
6,2,47.116,PC3
7,2,50.837,PC3
8,2,54.181,PC3
9,2,57.255,PC3
10,2,60.071,PC3
11,2,62.659,PC3
12,2,64.998,PC3
13,2,67.197,PC3
14,2,69.277,PC3
15,2,71.214,PC3
16,2,72.987,PC3
17,2,74.737,PC3
18,2,76.326,PC3
19,2,77.842,PC3
20,2,79.295,PC3
21,2,80.685,PC3
22,2,81.953,PC3
23,2,83.159,PC3
24,2,84.327,PC3
25,2,85.375,PC3
26,2,86.424,PC3
27,2,87.37,PC3
28,2,88.278,PC3
29,2,89.13,PC3
30,2,89.907,PC3
31,2,90.681,PC3
32,2,91.368,PC3
33,2,92.073,PC3
34,2,92.72,PC3
35,2,93.345,PC3
36,2,93.884,PC3
37,2,94.393,PC3
38,2,94.87,PC3
39,2,95.321,PC3
40,2,95.731,PC3
41,2,96.121,PC3
42,2,96.482,PC3
43,2,96.779,PC3
44,2,97.065,PC3
45,2,97.316,PC3
46,2,97.571,PC3
47,2,97.785,PC3
48,2,97.926,PC3
49,2,98.078,PC3
50,2,98.179,PC3
51,2,98.277,PC3
52,2,98.29,PC3
53,2,98.304,PC3
54,2,98.305,PC3
55,2,98.25,PC3
56,2,98.152,PC3
57,2,98.037,PC3
58,2,97.878,PC3
59,2,97.723,PC3
60,2,97.458,PC3
61,2,97.215,PC3
62,2,96.891,PC3
63,2,96.546,PC3
64,2,96.203,PC3
65,2,95.766,PC3
66,2,95.285,PC3
67,2,94.787,PC3
68,2,94.205,PC3
69,2,93.624,PC3
70,2,92.978,PC3
71,2,92.255,PC3
72,2,91.489,PC3
73,2,90.636,PC3
74,2,89.772,PC3
75,2,88.761,PC3
76,2,87.772,PC3
77,2,86.655,PC3
78,2,85.465,PC3
79,2,84.211,PC3
80,2,82.864,PC3
81,2,81.436,PC3
82,2,79.87,PC3
83,2,78.227,PC3
84,2,76.482,PC3
85,2,74.684,PC3
86,2,72.663,PC3
87,2,70.541,PC3
88,2,68.212,PC3
89,2,65.795,PC3
90,2,63.089,PC3
91,2,60.174,PC3
92,2,56.991,PC3
93,2,53.52,PC3
94,2,49.766,PC3
95,2,45.523,PC3
96,2,40.865,PC3
97,2,35.718,PC3
98,2,29.619,PC3
99,2,22.201,PC3
100,2,11.505,PC3
1,3,12.76,PC3
2,3,24.458,PC3
3,3,32.025,PC3
4,3,38.007,PC3
5,3,43,PC3
6,3,47.328,PC3
7,3,51.007,PC3
8,3,54.375,PC3
9,3,57.406,PC3
10,3,60.186,PC3
11,3,62.749,PC3
12,3,65.056,PC3
13,3,67.22,PC3
14,3,69.3,PC3
15,3,71.208,PC3
16,3,72.983,PC3
17,3,74.69,PC3
18,3,76.249,PC3
19,3,77.747,PC3
20,3,79.154,PC3
21,3,80.49,PC3
22,3,81.731,PC3
23,3,82.896,PC3
24,3,84.036,PC3
25,3,85.051,PC3
26,3,86.05,PC3
27,3,86.97,PC3
28,3,87.844,PC3
29,3,88.636,PC3
30,3,89.386,PC3
31,3,90.141,PC3
32,3,90.795,PC3
33,3,91.454,PC3
34,3,92.07,PC3
35,3,92.633,PC3
36,3,93.141,PC3
37,3,93.619,PC3
38,3,94.058,PC3
39,3,94.458,PC3
40,3,94.841,PC3
41,3,95.201,PC3
42,3,95.537,PC3
43,3,95.827,PC3
44,3,96.087,PC3
45,3,96.312,PC3
46,3,96.511,PC3
47,3,96.709,PC3
48,3,96.82,PC3
49,3,96.935,PC3
50,3,96.982,PC3
51,3,97.042,PC3
52,3,97.023,PC3
53,3,96.987,PC3
54,3,96.941,PC3
55,3,96.822,PC3
56,3,96.693,PC3
57,3,96.554,PC3
58,3,96.357,PC3
59,3,96.179,PC3
60,3,95.89,PC3
61,3,95.608,PC3
62,3,95.272,PC3
63,3,94.903,PC3
64,3,94.543,PC3
65,3,94.132,PC3
66,3,93.647,PC3
67,3,93.155,PC3
68,3,92.589,PC3
69,3,92.021,PC3
70,3,91.387,PC3
71,3,90.728,PC3
72,3,90,PC3
73,3,89.225,PC3
74,3,88.402,PC3
75,3,87.473,PC3
76,3,86.547,PC3
77,3,85.522,PC3
78,3,84.436,PC3
79,3,83.286,PC3
80,3,82.047,PC3
81,3,80.742,PC3
82,3,79.312,PC3
83,3,77.83,PC3
84,3,76.227,PC3
85,3,74.592,PC3
86,3,72.739,PC3
87,3,70.809,PC3
88,3,68.618,PC3
89,3,66.387,PC3
90,3,63.913,PC3
91,3,61.214,PC3
92,3,58.278,PC3
93,3,55.043,PC3
94,3,51.52,PC3
95,3,47.555,PC3
96,3,43.073,PC3
97,3,37.997,PC3
98,3,31.85,PC3
99,3,24.129,PC3
100,3,12.547,PC3
1,4,13,PC3
2,4,24.719,PC3
3,4,32.303,PC3
4,4,38.246,PC3
5,4,43.22,PC3
6,4,47.541,PC3
7,4,51.178,PC3
8,4,54.57,PC3
9,4,57.556,PC3
10,4,60.302,PC3
11,4,62.838,PC3
12,4,65.115,PC3
13,4,67.242,PC3
14,4,69.323,PC3
15,4,71.202,PC3
16,4,72.979,PC3
17,4,74.644,PC3
18,4,76.171,PC3
19,4,77.651,PC3
20,4,79.012,PC3
21,4,80.295,PC3
22,4,81.509,PC3
23,4,82.633,PC3
24,4,83.745,PC3
25,4,84.727,PC3
26,4,85.677,PC3
27,4,86.569,PC3
28,4,87.41,PC3
29,4,88.143,PC3
30,4,88.865,PC3
31,4,89.6,PC3
32,4,90.221,PC3
33,4,90.836,PC3
34,4,91.421,PC3
35,4,91.92,PC3
36,4,92.399,PC3
37,4,92.844,PC3
38,4,93.247,PC3
39,4,93.595,PC3
40,4,93.951,PC3
41,4,94.281,PC3
42,4,94.592,PC3
43,4,94.875,PC3
44,4,95.109,PC3
45,4,95.308,PC3
46,4,95.45,PC3
47,4,95.633,PC3
48,4,95.714,PC3
49,4,95.791,PC3
50,4,95.786,PC3
51,4,95.807,PC3
52,4,95.756,PC3
53,4,95.67,PC3
54,4,95.578,PC3
55,4,95.395,PC3
56,4,95.234,PC3
57,4,95.072,PC3
58,4,94.836,PC3
59,4,94.636,PC3
60,4,94.322,PC3
61,4,94.001,PC3
62,4,93.652,PC3
63,4,93.259,PC3
64,4,92.883,PC3
65,4,92.499,PC3
66,4,92.008,PC3
67,4,91.523,PC3
68,4,90.972,PC3
69,4,90.417,PC3
70,4,89.796,PC3
71,4,89.202,PC3
72,4,88.512,PC3
73,4,87.814,PC3
74,4,87.033,PC3
75,4,86.185,PC3
76,4,85.323,PC3
77,4,84.389,PC3
78,4,83.406,PC3
79,4,82.362,PC3
80,4,81.23,PC3
81,4,80.048,PC3
82,4,78.753,PC3
83,4,77.433,PC3
84,4,75.972,PC3
85,4,74.501,PC3
86,4,72.815,PC3
87,4,71.077,PC3
88,4,69.023,PC3
89,4,66.979,PC3
90,4,64.738,PC3
91,4,62.254,PC3
92,4,59.564,PC3
93,4,56.567,PC3
94,4,53.274,PC3
95,4,49.587,PC3
96,4,45.281,PC3
97,4,40.277,PC3
98,4,34.081,PC3
99,4,26.057,PC3
100,4,13.589,PC3
1,5,13.24,PC3
2,5,24.98,PC3
3,5,32.582,PC3
4,5,38.485,PC3
5,5,43.441,PC3
6,5,47.754,PC3
7,5,51.349,PC3
8,5,54.764,PC3
9,5,57.707,PC3
10,5,60.418,PC3
11,5,62.928,PC3
12,5,65.174,PC3
13,5,67.265,PC3
14,5,69.345,PC3
15,5,71.196,PC3
16,5,72.975,PC3
17,5,74.597,PC3
18,5,76.094,PC3
19,5,77.555,PC3
20,5,78.871,PC3
21,5,80.101,PC3
22,5,81.286,PC3
23,5,82.37,PC3
24,5,83.454,PC3
25,5,84.403,PC3
26,5,85.303,PC3
27,5,86.168,PC3
28,5,86.976,PC3
29,5,87.649,PC3
30,5,88.344,PC3
31,5,89.059,PC3
32,5,89.648,PC3
33,5,90.217,PC3
34,5,90.771,PC3
35,5,91.208,PC3
36,5,91.656,PC3
37,5,92.069,PC3
38,5,92.436,PC3
39,5,92.733,PC3
40,5,93.061,PC3
41,5,93.36,PC3
42,5,93.646,PC3
43,5,93.923,PC3
44,5,94.13,PC3
45,5,94.304,PC3
46,5,94.39,PC3
47,5,94.557,PC3
48,5,94.608,PC3
49,5,94.648,PC3
50,5,94.589,PC3
51,5,94.572,PC3
52,5,94.489,PC3
53,5,94.353,PC3
54,5,94.214,PC3
55,5,93.968,PC3
56,5,93.774,PC3
57,5,93.59,PC3
58,5,93.314,PC3
59,5,93.092,PC3
60,5,92.753,PC3
61,5,92.394,PC3
62,5,92.033,PC3
63,5,91.616,PC3
64,5,91.223,PC3
65,5,90.865,PC3
66,5,90.369,PC3
67,5,89.891,PC3
68,5,89.356,PC3
69,5,88.814,PC3
70,5,88.206,PC3
71,5,87.675,PC3
72,5,87.023,PC3
73,5,86.403,PC3
74,5,85.663,PC3
75,5,84.897,PC3
76,5,84.098,PC3
77,5,83.255,PC3
78,5,82.376,PC3
79,5,81.438,PC3
80,5,80.413,PC3
81,5,79.353,PC3
82,5,78.195,PC3
83,5,77.036,PC3
84,5,75.717,PC3
85,5,74.409,PC3
86,5,72.891,PC3
87,5,71.345,PC3
88,5,69.429,PC3
89,5,67.572,PC3
90,5,65.562,PC3
91,5,63.294,PC3
92,5,60.851,PC3
93,5,58.09,PC3
94,5,55.028,PC3
95,5,51.619,PC3
96,5,47.488,PC3
97,5,42.556,PC3
98,5,36.312,PC3
99,5,27.986,PC3
100,5,14.632,PC3
